case_id,case_label,level_id,level_label,level_order,engine,variant,step,newton_iterations,linear_iterations,linear_solve_time,linear_preconditioner_time,linear_orthogonalization_time,newton_relres_end,output_dir
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,9,16.0,161.0,21.80818463306059,4.9308461240143515,3.4740863199695013,4.13853776923327e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,10,16.0,164.0,22.15119817701634,4.993902471003821,3.449143406993244,6.728166034803112e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,11,25.0,252.0,34.44713413795398,7.881447645006119,7.729603432031581,7.076636045812412e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L2,L2,1,petsc,main,12,25.0,234.0,32.54720848693978,8.184986342021148,7.929543759018998,8.894540521974495e-05,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L2/main_petsc_main
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,1,4.0,28.0,5.133843364004861,1.6824169169995002,0.3023197349830298,0.0009436376489592436,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,2,4.0,25.0,4.659398760006297,1.6667929389805067,0.39244389200757723,0.0011061264819513079,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,3,4.0,25.0,4.7074862879671855,1.9665941909916,0.43657973100198433,0.0010668802937096843,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,4,4.0,32.0,5.908442861968069,1.7214975200040499,0.5432694669871125,0.0008236709994978579,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,5,5.0,42.0,7.523083335981937,2.059622918997775,0.9474377899896353,0.0009036874207750182,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
hetero_3d,Heterogeneous 3D SSR,L3,L3,2,petsc,delta_lambda,6,12.0,172.0,30.938403222011402,5.157766053001978,4.699662383980467,0.000429838203020939,/home/beremi/repos/slope_stability-1/artifacts/petsc_matlab_performance_comparison/runs/hetero_3d/L3/main_petsc_delta_lambda
